station,subject,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,year
Волочанка,Красноярский край,0.6,0.6,0.9,1.7,3.2,6.9,10.7,9.7,6.2,2.6,1.1,0.8,3.8
Диксон,Красноярский край,0.9,1.2,1.7,3.1,5.8,7.9,8,6.3,3.4,1.6,1.2,3.5,0.9
Дудинка,Красноярский край,0.7,0.8,1.2,1.9,3.6,7.2,11.1,10.3,6.9,3.3,1.4,1,4.1
Енисейск,Красноярский край,1.3,1.4,2.5,4,6.3,11.6,15.1,13.2,8.5,5,2.7,1.6,6.1
Игарка,Красноярский край,0.7,0.8,1.5,2.4,4.1,8.2,12.2,11,7.3,3.7,1.5,1,4.5
Канск,Красноярский край,1.3,1.4,2.6,4.3,6.7,11.6,15.1,13.1,8.5,5,2.7,1.5,6.2
Красноярск,Красноярский край,1.6,1.8,2.9,4.4,6.8,12,15.4,13.6,8.8,5.2,3,1.9,6.5
Минусинск,Красноярский край,1.4,1.6,2.9,4.8,7.4,12.3,15.3,13.6,9,5.4,3,1.8,6.5
Тура,Красноярский край,0.4,0.5,1.4,2.7,4.6,8.7,12,10.6,6.5,3.3,1,0.5,4.3
Туруханск,Красноярский край,0.8,1,1.8,2.7,4.3,8.7,12.7,11.4,7.4,3.9,1.6,1.1,4.8
Хатанга,Красноярский край,0.5,0.5,0.8,1.6,3.3,6.9,10.1,9.1,6,2.5,0.9,0.6,3.6
"Челюскин, мыс",Красноярский край,0.6,0.6,0.7,1.2,2.7,5.1,6.3,6.2,4.8,2.5,1.1,0.8,2.7
Ярцево,Красноярский край,1.1,1.3,2.3,3.6,6,10.9,14.7,12.7,8.4,4.8,2.4,1.4,5.8
Керчь,Республика Крым,5.6,5.6,6.6,9.2,13.1,16.8,18.6,18.3,14.5,11.1,8.5,6.6,11.2
Симферополь,Республика Крым,5.5,5.5,6.2,8.3,11.7,14.6,16.3,15.8,12.9,10.1,8,6.3,10.1
Феодосия,Республика Крым,5.9,5.9,6.9,9.4,13.2,16.7,18.7,18.6,14.9,11.6,8.8,6.9,11.4
Курган,Курганская область,1.7,1.8,3.2,5.7,8.1,12.6,15.4,13.5,9.4,6,3.6,2.2,6.9
Курск,Курская область,3.5,3.5,4.6,6.9,9.9,13.3,15.3,13.8,10.6,7.8,5.6,4.1,8.2
Выборг,Ленинградская область,3.5,3.4,4.2,5.6,8.3,11.9,14.9,14.3,11,7.8,5.7,4.3,7.9
Новая Ладога,Ленинградская область,3.5,3.4,4.2,5.8,8.6,12.5,15.5,14.4,10.8,7.6,5.4,4.2,8
