id,station_id,subject,location,cold_temperature_1day_098,cold_temperature_1day_092,cold_temperature_5day_098,cold_temperature_5day_092,temperature_094,absolutely_minimal_temperature,mean_1day_amplitude_the_coldest_month,duration_of_period_with_mean_1day_temperature_1,mean_temperature_1,duration_of_period_with_mean_1day_temperature_2,mean_temperature_2,duration_of_period_with_mean_1day_temperature_3,mean_temperature_3,mean_monthly_relative_moisture_the_coldest_month,mean_monthly_relative_moisture_in15oclock_the_coldest_month,precipitation_november_march_mm,dominant_wind_direction_december_february,maximal_of_mean_speed_wind_by_point_january,mean_wind_speed_in_period_of_mean_1day_temperature
28,28,Амурская область,Усть-Нюкжа,-47,-45,-44,-43,-35,-51,7.8,200,-19.9,252,-15,266,-13.7,77,74,35,С,1.8,0.6
29,29,Амурская область,Черняево,-45,-43,-42,-40,-34,-51,13.5,180,-17.7,229,-13,244,-11.7,72,64,32,З,3.7,1.9
30,30,Амурская область,Шимановск,-41,-40,-39,-37,-30,-49,12.9,179,-17,228,-12.4,243,-11.1,72,65,42,СЗ,3.1,2.1
31,31,Амурская область,Экимчан,-45,-44,-43,-42,-35,-53,10.7,195,-19.4,247,-14.4,263,-13,74,67,67,В,1.6,1.3
32,32,Архангельская область,Архангельск,-40,-38,-37,-34,-20,-45,8.3,175,-8.1,248,-4.5,270,-3.4,85,84,188,ЮВ,3.6,3.1
33,33,Архангельская область,Емецк,-38,-36,-35,-32,-20,-48,6.9,175,-8.5,244,-4.9,265,-3.8,84,84,159,Ю,4.8,3.7
34,34,Архангельская область,Каргополь,-37,-34,-32,-29,-18,-44,8.3,167,-7.7,235,-4.3,255,-3.2,86,85,205,Ю,3.6,3
35,35,Архангельская область,Койнас,-48,-47,-44,-41,-24,-52,9.7,189,-10,260,-6.2,280,-5.1,83,83,195,Ю,2.2,2.1
36,36,Архангельская область,Котлас,-43,-40,-39,-35,-20,-47,8.3,166,-8.7,235,-5,255,-3.9,84,83,176,Ю,4.2,3.5
37,37,Архангельская область,Мезень,-42,-40,-39,-36,-21,-49,8.2,191,-8.8,265,-5.2,288,-4,84,84,162,Ю,4.5,4.1
38,38,Архангельская область,Онега,-38,-35,-34,-31,-18,-43,7.6,170,-7.3,242,-3.9,263,-2.9,85,84,200,ЮВ,4,2.8
39,39,Архангельская область,Шенкурск,-42,-39,-38,-35,-20,-51,8.2,167,-8.3,235,-4.7,255,-3.6,83,83,169,Ю,3.9,3.3
40,40,Астраханская область,Астрахань,-26,-24,-22,-20,-9,-34,7.7,102,-3.5,165,-0.7,180,0.2,83,78,76,В,3.8,3.2
41,41,Архангельская область,Верхний Баскунчак,-30,-27,-26,-23,-12,-37,7.3,120,-5.3,175,-2.4,188,-1.6,83,74,112,В,3.9,3.5
42,42,Республика Башкортостан,Белорецк,-37,-35,-34,-31,-20,-45,8.8,168,-10.1,228,-6.3,245,-5.3,79,73,126,ЮЗ,5.1,2.9
43,43,Архангельская область,Дуван,-43,-39,-36,-33,-19,-50,8.5,165,-9.6,223,-6.1,239,-5.1,79,78,131,Ю,3.6,2.8
44,44,Архангельская область,Мелеуз,-42,-38,-38,-33,-21,-45,9.8,155,-9.8,206,-6.3,219,-5.4,77,75,170,Ю,4.6,2.9
45,45,Архангельская область,Уфа,-41,-39,-37,-33,-20,-49,10,154,-9.5,209,-5.9,223,-5,78,76,213,Ю,3.9,2.9
46,46,Архангельская область,Янаул,-43,-40,-38,-34,-21,-51,9.5,163,-9.6,218,-6.1,233,-5.1,81,78,143,Ю,6,3.9
47,47,Белгородская область,Белгород,-28,-26,-25,-24,-12,-35,6.2,127,-4.6,187,-1.9,203,-1,86,82,211,ЮЗ,4.7,4.3
48,48,Брянская область,Брянск,-30,-27,-25,-23,-12,-42,6.4,132,-5,199,-2,217,-1.1,85,81,220,Ю,3.5,2.9
49,49,Республика Бурятия,Бабушкин,-33,-31,-31,-29,-19,-39,9.4,175,-9.6,250,-5.5,272,-4.3,77,73,95,З,5.7,3.7
50,50,Республика Бурятия,Багдарин,-45,-44,-44,-42,-34,-52,15.3,205,-18.2,262,-13.3,276,-12.2,75,67,16,С,2.2,1.2
51,51,Республика Бурятия,Баргузин,-44,-43,-42,-41,-32,-52,10.2,183,-16.6,240,-11.7,255,-10.5,78,75,97,З,3.2,1.6
52,52,Республика Бурятия,Кяхта,-35,-34,-33,-31,-23,-40,9.6,171,-13.1,230,-8.7,245,-7.6,75,67,24,Ю,2.3,1.5
53,53,Республика Бурятия,Монды,-37,-35,-33,-32,-25,-48,16,189,-12.7,259,-8.1,277,-7,69,54,11,З,3,2.2
54,54,Республика Бурятия,Нижнеангарск,-37,-35,-35,-33,-25,-47,7.7,194,-13.8,255,-9.5,271,-8.4,75,69,73,С,2.2,1.7
55,55,Республика Бурятия,Сосново-Озерское,-41,-39,-37,-36,-28,-49,11.4,197,-15,258,-10.5,271,-9.6,77,74,19,З,5,3.5
56,56,Республика Бурятия,Уакит,-43,-41,-41,-40,-32,-49,10,216,-17.7,270,-13.3,285,-12.1,77,73,16,СЗ,4.4,1.8
57,57,Республика Бурятия,Улан-Удэ,-38,-37,-36,-35,-27,-51,9.9,175,-14.6,231,-10.1,245,-9,76,70,31,З,2.1,1.9
58,58,Республика Бурятия,Хоринск,-43,-41,-40,-38,-30,-50,13,184,-15.7,239,-11.1,253,-10,76,72,13,З,4.8,2.3
59,59,Владимирская область,Владимир,-35,-33,-32,-27,-15,-48,6.6,146,-6.5,209,-3.3,226,-2.4,85,82,205,Ю,4.1,3.4
60,60,Владимирская область,Муром,-35,-33,-31,-28,-15,-45,7.9,146,-6.7,206,-3.6,223,-2.6,83,78,197,Ю,3.6,3.4
61,61,Волгоградская область,Волгоград,-28,-26,-24,-22,-12,-35,6.2,122,-5,176,-2.3,190,-1.4,85,81,177,"В, З",5.5,3.6
62,62,Волгоградская область,Камышин,-30,-28,-26,-24,-12,-37,6.3,134,-6.3,186,-3.4,199,-2.6,82,79,157,СЗ,5.5,4.9
63,63,Волгоградская область,Котельниково,-29,-26,-25,-23,-11,-38,5.8,117,-4.5,176,-1.7,191,-0.8,86,81,137,В,4.1,3.5
64,64,Волгоградская область,Новоаннинский,-31,-29,-27,-25,-12,-41,6.4,130,-5.7,186,-2.7,200,-1.9,83,78,199,Ю,4.3,3.7
65,65,Волгоградская область,Эльтон,-30,-28,-26,-24,-13,-36,7.5,125,-6,178,-3,191,-2.2,82,78,97,В,5.8,4.8
66,66,Вологодская область,Бабаево,-38,-35,-34,-30,-16,-48,8,155,-6.7,226,-3.3,245,-2.4,85,84,196,Ю,3.1,2.5
67,67,Вологодская область,Вологда,-40,-36,-35,-32,-16,-47,8,158,-7.4,226,-4,244,-3,85,83,170,Ю,3.9,3.3
68,68,Вологодская область,Вытегра,-40,-37,-35,-32,-17,-49,8.2,156,-6.8,228,-3.4,248,-2.4,84,83,221,ЮВ,3.5,2.9
69,69,Вологодская область,Никольск,-42,-39,-38,-34,-19,-49,8.1,163,-8.3,230,-4.7,248,-3.7,84,83,201,Ю,2.8,2.3
70,70,Вологодская область,Тотьма,-40,-37,-36,-33,-18,-46,7.4,163,-7.9,230,-4.4,249,-3.4,85,84,203,Ю,3.1,3.1
71,71,Воронежская область,Воронеж,-30,-28,-26,-24,-12,-37,6.6,130,-5.3,190,-2.4,205,-1.5,83,78,206,З,4,3.2
72,72,Республика Дагестан,Дербент,-13,-11,-9,-7,0,-19,5,0,,136,4,158,4.7,83,80,184,СЗ,3.2,2.1
73,73,Республика Дагестан,Махачкала,-20,-17,-15,-13,-2,-27,5.9,0,,145,2.8,165,3.6,83,79,151,"СЗ, З",5.2,3.9
74,74,Республика Дагестан,Терекли-Мектеб,-24,-22,-20,-17,-5,-35,6.5,69,-1.4,155,1.4,172,2.2,88,81,109,В,3.7,2.8
75,75,Еврейская автономная область,Биробиджан,-34,-33,-32,-31,-26,-43,15.3,161,-14.5,210,-10.1,225,-8.9,75,67,81,З,2.6,1.6
76,76,Еврейская автономная область,Екатерино-Никольское,-33,-31,-30,-29,-22,-40,10.2,159,-13.1,205,-9.2,220,-8,70,60,53,СЗ,4.5,2.2
77,77,Еврейская автономная область,Облучье,-40,-39,-37,-36,-29,-46,13.1,173,-16.7,221,-12.1,237,-10.7,73,67,82,С,1.9,1.5
78,78,Забайкальский край,Агинское,-40,-37,-36,-34,-27,-48,14,181,-14.9,237,-10.4,251,-9.3,72,65,21,З,3.7,2.9
79,79,Забайкальский край,Акша,-38,-36,-35,-34,-27,-50,14.8,179,-14.4,235,-9.9,251,-8.7,75,68,16,Ю,4.5,2.5
80,80,Забайкальский край,Александровский Завод,-40,-39,-39,-37,-30,-48,14.9,190,-17.1,247,-12.2,264,-10.8,77,70,25,Ю,2.4,2.1
81,81,Забайкальский край,Борзя,-42,-41,-40,-38,-31,-50,14.3,159,-13.1,205,-9.2,220,-8,79,73,19,СВ,2.4,2.8
82,82,Забайкальский край,Дарасун,-38,-36,-35,-34,-27,-48,14.5,185,-14.1,244,-9.7,260,-8.5,73,64,27,СЗ,3.1,1.8
83,83,Забайкальский край,Калакан,-50,-48,-49,-47,-39,-56,14.5,205,-21.5,258,-16.2,273,-14.8,78,68,24,З,2.5,0.7
84,84,Забайкальский край,Красный Чикой,-41,-40,-38,-37,-30,-48,12.7,181,-16,240,-11,257,-9.7,78,74,25,З,2.4,1.2
85,85,Забайкальский край,Могоча,-43,-42,-41,-40,-33,-53,14.3,205,-21.5,258,-16.2,273,-14.8,77,70,28,СЗ,3.5,1.5
86,86,Забайкальский край,Нерчинск,-45,-44,-44,-42,-34,-54,13,181,-19.2,231,-14.1,246,-12.7,79,74,24,"3,0#",4,1.7
87,87,Забайкальский край,Нерчинский Завод,-41,-40,-40,-38,-30,-53,8.9,181,-17.5,233,-12.6,249,-11.3,79,75,30,СЗ,2.4,1.1
88,88,Забайкальский край,Средний Калар,-50,-48,-48,-46,-40,-56,14.1,212,-22,266,-16.7,281,-15.4,80,75,18,СВ,3.3,0.6
89,89,Забайкальский край,Тунгокочен,-47,-45,-45,-43,-36,-54,17,201,-19.3,259,-14,275,-12.7,78,71,25,ЮЗ,2.8,1.3
90,90,Забайкальский край,Тупик,-47,-45,-44,-43,-36,-56,14.7,202,-20.2,256,-15,271,-13.7,76,71,46,ЮЗ,2.1,1.7
91,91,Забайкальский край,Чара,-49,-47,-47,-45,-38,-56,12.1,211,-20.6,262,-15.8,276,-14.5,78,76,18,ЮЗ,1.6,1.3
92,92,Забайкальский край,Чита,-41,-39,-39,-37,-30,-47,13.3,182,-16,238,-11.2,252,-10.1,76,69,19,В,1.5,2
93,93,Ивановская область,Иваново,-36,-33,-32,-29,-16,-45,8.1,150,-6.9,214,-3.6,233,-2.6,85,82,206,Ю,4.3,3.7
94,94,Ивановская область,Кинешма,-36,-33,-32,-29,-16,-45,7.1,150,-6.9,214,-3.6,232,-2.7,84,82,214,Ю,3.4,2.8
95,95,Республика Ингушетия,Магас*,-20,-18,-17,-14,-6,-23,8.5,78,-1.5,167,1.3,192,2.3,81,74,140,"СВ, Ю",1.5,1.2
96,96,Иркутская область,Алыгджер,-40,-38,-36,-34,-22,-47,11.6,179,-10.5,256,-6.1,276,-5,62,56,30,Ю,4.7,2.5
97,97,Иркутская область,Байкальск,-32,-31,-29,-27,-20,-39,9.4,175,-9.8,247,-5.7,268,-4.6,77,69,131,ЮЗ,1.4,1.4
98,98,Иркутская область,Бодайбо,-51,-49,-49,-47,-37,-55,7.3,200,-18.9,254,-14,268,-12.8,78,77,105,СВ,2.3,1.2
99,99,Иркутская область,Братск,-43,-41,-40,-39,-26,-46,8.1,183,-12.8,248,-8.4,263,-7.4,79,75,82,З,2.5,2.2
100,100,Иркутская область,Верхне-Марково,-52,-51,-50,-48,-37,-55,11.1,195,-12,267,-7.7,285,-6.6,77,75,85,"ЮЗ, З",3.7,1.6
101,101,Иркутская область,Верхняя Гутара,-41,-39,-37,-35,-26,-47,16.3,194,-17.8,252,-12.8,266,-11.6,68,65,32,Ю,2.1,0.9
102,102,Иркутская область,Ербогачен,-57,-55,-55,-52,-39,-61,11.4,211,-19.6,262,-15,275,-13.9,75,75,86,Ю,2.1,1.5
103,103,Иркутская область,Ершово,-47,-44,-44,-41,-30,-52,9.1,188,-13.7,248,-9.4,262,-8.4,79,76,101,"З, ЮЗ",2.8,1.6
104,104,Иркутская область,Жигалово,-49,-48,-46,-44,-33,-54,10.6,211,-19.6,262,-15,275,-13.9,81,77,62,З,2.4,1.1
105,105,Иркутская область,Зима,-44,-42,-40,-38,-27,-51,10.8,178,-13.9,237,-9.4,253,-8.2,81,77,69,СЗ,2.6,1.5
106,106,Иркутская область,Ика,-56,-53,-53,-50,-38,-60,13.7,209,-18.3,263,-13.7,276,-12.6,74,71,48,Ю,2.7,1.5
107,107,Иркутская область,Иркутск,-38,-37,-35,-33,-23,-50,9.4,170,-11.9,233,-7.6,249,-6.5,79,76,69,В,2.9,2.1
108,108,Иркутская область,Киренск,-54,-52,-51,-49,-36,-58,11.6,196,-17.3,251,-12.6,265,-11.5,76,74,97,ЮЗ,3.6,1.8
109,109,Иркутская область,Мама,-49,-47,-46,-44,-34,-56,7.5,196,-17.7,252,-12.9,266,-11.8,77,75,155,ЮВ,2.7,2.3
110,110,Иркутская область,Наканно,-59,-57,-56,-54,-43,-61,10.5,217,-21.4,266,-16.7,278,-15.6,78,77,72,Ю,2.6,1.4
111,111,Иркутская область,Непа,-55,-53,-52,-49,-37,-58,11.2,204,-17.7,259,-13.1,272,-12,79,77,88,Ю,2.5,1.5
112,112,Иркутская область,Орлинга,-50,-48,-47,-45,-33,-55,10.8,195,-16.5,253,-11.8,267,-10.7,78,76,96,ЮВ,2.6,1.1
113,113,Иркутская область,Перевоз,-51,-48,-48,-45,-34,-56,9.8,202,-17.2,258,-12.6,272,-11.5,73,69,35,З,3.1,1.7
114,114,Иркутская область,Преображенка,-56,-53,-53,-50,-38,-59,12.2,207,-18.5,259,-14,273,-12.8,75,74,82,Ю,2.5,2.1
115,115,Иркутская область,Тайшет,-45,-43,-41,-39,-26,-50,10.1,175,-12.3,239,-7.9,254,-6.9,78,75,107,З,3.4,2.4
116,116,Иркутская область,Тулун,-43,-41,-39,-37,-25,-50,10.1,181,-12.7,242,-8.5,257,-7.5,79,75,63,Ю,2.5,1.7
117,117,Иркутская область,Усть-Ордынский,-44,-42,-40,-38,-28,-50,11.1,182,-15.1,240,-10.4,255,-9.3,79,76,32,С,2.7,2.6
118,118,Иркутская область,Чечуйск,-55,-53,-52,-49,-37,-60,10.1,198,-17.1,254,-12.4,267,-11.4,77,75,116,ЮЗ,4.7,2.9
119,119,Кабардино-Балкарская Республика,Нальчик,-24,-21,-20,-17,-8,-31,7,87,-2.1,164,0.7,181,1.4,85,79,141,В,2.1,1.6
120,120,Калининградская область,Калининград,-24,-21,-21,-18,-6,-33,5.4,82,-1.7,188,1.3,211,2.2,86,82,315,З,3.5,2.8
121,121,Республика Калмыкия,Элиста,-28,-25,-24,-21,-9,-34,6.1,107,-3.6,171,-0.8,186,0,88,84,127,В,8.2,6.1
122,122,Калужская область,Калуга,-33,-30,-28,-25,-13,-46,7.4,139,-5.8,208,-2.5,226,-1.6,85,80,215,З,3.9,3.5
123,123,Камчатский край,Апука,-34,-32,-31,-28,-20,-40,6.7,211,-9.3,285,-5.8,315,-4.4,72,70,179,СВ,7.8,6.1
124,124,Камчатский край,Большерецк,-31,-29,-29,-27,-17,-39,9.4,180,-7.5,271,-3.5,302,-2.2,80,77,265,СВ,5.5,4.6
125,125,Камчатский край,Ича,-29,-28,-27,-26,-17,-36,7.5,185,-8,276,-4,307,-2.7,78,77,203,СВ,4.4,4.8
126,126,Камчатский край,Ключи,-37,-36,-34,-33,-22,-49,10.6,185,-10.3,251,-6.5,270,-5.4,80,79,311,З,3.9,3.5
127,127,Камчатский край,Козыревск,-39,-38,-36,-35,-27,-48,12.5,183,-11.6,251,-7.3,269,-6.2,82,79,180,С,5.9,2.4
128,128,Камчатский край,Корф,-35,-32,-31,-29,-22,-41,6.9,209,-10.4,271,-7.1,294,-5.8,71,70,151,С,6,4.9
129,129,Камчатский край,Кроноки,-25,-23,-22,-20,-14,-29,7.2,179,-5.5,278,-2.1,308,-1,70,65,422,С,3.8,3
130,130,Камчатский край,"Лопатка, мыс",-18,-15,-16,-13,-7,-21,3.3,167,-3.4,294,-0.2,365,1.7,85,82,348,СЗ,11.5,9.6
131,131,Камчатский край,Мильково,-41,-39,-38,-36,-26,-51,13.4,186,-12.5,251,-8.2,269,-7,82,79,229,З,3.2,1.8
132,132,Камчатский край,Начики,-37,-36,-34,-32,-28,-51,15.2,197,-11.7,274,-7.2,296,-6,79,72,410,СЗ,3.6,2
133,133,Камчатский край,о. Беринга,-16,-13,-12,-11,-6,-24,3.9,154,-2.4,281,0.4,316,1.4,80,79,307,СВ,9.1,7.3
134,134,Камчатский край,Оссора,-35,-34,-32,-31,-23,-41,10.1,205,-10,272,-6.5,294,-5.4,77,75,257,С,6.1,3.5
135,135,Камчатский край,Петропавловск-Камчатский,-22,-20,-19,-18,-10,-32,5.3,160,-4.7,251,-1.5,276,-0.6,68,65,611,С,5,4.6
136,136,Камчатский край,Семлячики,-20,-18,-17,-15,-9,-25,4.9,167,-4.4,259,-1.4,288,-0.4,64,62,562,СЗ,7.9,5.6
137,137,Камчатский край,Соболево,-35,-33,-32,-30,-20,-45,12.8,184,-9,268,-4.8,296,-3.5,80,75,249,СВ,3.3,3
138,138,Камчатский край,Усть-Воямполка,-39,-38,-35,-34,-25,-45,9.5,202,-11.3,286,-6.7,319,-5.1,84,83,121,ЮВ,4,4.4
139,139,Камчатский край,Усть-Камчатск,-34,-32,-29,-28,-15,-42,9.4,191,-7.9,270,-4.4,296,-3.2,77,74,366,С,5.2,4.3
140,140,Камчатский край,Усть-Хайрюзово,-35,-34,-32,-30,-20,-42,9.1,190,-9.2,271,-5.1,298,-3.9,82,79,150,ЮВ,5.4,4.2
141,141,Карачаево-Черкесская Республика,Черкесск,-23,-20,-19,-16,-8,-29,8.6,87,-2.2,167,0.6,185,1.4,81,71,131,В,3.8,2.1
142,142,Республика Карелия,Калевала,-41,-38,-37,-33,-19,-45,9.4,181,-7.9,254,-4.4,275,-3.4,86,86,172,З,3,2.5
143,143,Республика Карелия,Кемь,-35,-33,-31,-28,-16,-40,7.5,174,-6.7,255,-3.3,276,-2.4,86,85,136,З,4.6,4.3
144,144,Республика Карелия,Олонец,-37,-34,-33,-29,-16,-54,9.3,153,-6.4,230,-3,255,-2.6,85,85,264,Ю,4.6,3.4
145,145,Республика Карелия,Паданы,-36,-34,-33,-30,-17,-46,7.7,169,-6.9,244,-3.6,264,-2.6,86,85,160,З,3.9,3.6
146,146,Республика Карелия,Петрозаводск,-35,-32,-31,-28,-15,-43,6.8,160,-6.3,234,-3.1,254,-2.1,87,85,183,З,3.9,3.2
147,147,Республика Карелия,Реболы,-40,-37,-37,-34,-18,-42,8.4,174,-7.4,246,-4.1,265,-3.2,87,86,201,"ЮЗ, З",3.1,2.4
148,148,Республика Карелия,Сортавала,-36,-32,-32,-28,-15,-43,7.8,150,-5.8,231,-2.4,251,-1.5,86,85,236,Ю,3.7,2.6
149,149,Кемеровская область,Кемерово,-45,-43,-42,-39,-25,-50,10.2,171,-12,228,-7.9,245,-6.7,77,72,140,Ю,3.4,2.8
150,150,Кемеровская область,Киселевск,-42,-39,-39,-35,-22,-50,8.7,163,-10.6,223,-6.6,240,-5.5,77,74,110,ЮЗ,4.5,2.9
151,151,Кемеровская область,Кондома,-43,-40,-39,-36,-25,-52,13.8,169,-11.5,232,-7.3,250,-6.1,81,75,295,Ю,2.9,0.9
152,152,Кемеровская область,Мариинск,-46,-43,-43,-39,-24,-55,9.8,171,-11.4,232,-7.3,250,-6.1,77,74,114,ЮЗ,5,3.4
153,153,Кемеровская область,Тайга,-44,-42,-42,-39,-25,-53,9.7,179,-11.9,242,-7.7,258,-6.7,79,76,177,ЮЗ,5,3
154,154,Кемеровская область,Тисуль,-45,-43,-42,-39,-24,-51,10.6,170,-11.1,233,-6.9,250,-5.8,72,68,87,ЮЗ,6.5,3.6
155,155,Кемеровская область,Топки,-44,-40,-39,-37,-23,-51,8.5,173,-11.4,231,-7.5,248,-6.4,78,75,160,Ю,4.6,3.2
156,156,Кемеровская область,Усть-Кабырза,-44,-41,-42,-39,-26,-48,13.2,170,-12.7,234,-8.1,251,-6.9,80,77,206,З,2.3,0.8
157,157,Кировская область,Кильмезь,-39,-36,-34,-31,-18,-52,8,158,-8.5,217,-5.1,232,-4.2,83,81,158,Ю,5.1,4
158,158,Кировская область,Киров,-39,-36,-35,-32,-18,-45,7,161,-8.4,223,-5,240,-4,84,83,219,Ю,3.4,3
159,159,Кировская область,Нагорское,-42,-38,-36,-33,-19,-47,6.9,169,-9,232,-5.4,250,-4.4,86,85,221,Ю,3.7,3.4
160,160,Республика Коми,Вендинга,-47,-44,-42,-39,-24,-52,8.5,183,-9.9,254,-6,274,-4.9,82,82,164,Ю,3,2.4
161,161,Республика Коми,Воркута,-48,-45,-44,-41,-28,-52,8.9,234,-13.2,298,-9.5,316,-8.4,80,80,184,Ю,8.2,5.5
162,162,Республика Коми,Объячево,-43,-40,-38,-34,-21,-47,7.8,168,-8.9,234,-5.2,253,-4.2,83,82,193,Ю,3.7,3.1
163,163,Республика Коми,Петрунь,-51,-48,-47,-44,-29,-53,9.7,220,-12.4,284,-8.6,303,-7.5,80,80,167,ЮЗ,5.1,3.8
164,164,Республика Коми,Печора,-51,-48,-47,-43,-28,-55,9,203,-11.5,266,-7.8,287,-6.6,80,80,198,ЮВ,4.5,3.4
165,165,Республика Коми,Сыктывкар,-44,-40,-39,-35,-21,-47,7.9,173,-9.4,242,-5.6,261,-4.5,83,82,187,Ю,3.3,2.8
166,166,Республика Коми,Троицко-Печорское,-48,-45,-42,-39,-25,-51,8.7,187,-10.9,256,-6.9,276,-5.7,81,81,209,Ю,3.1,2.6
167,167,Республика Коми,Усть-Уса,-47,-45,-44,-41,-27,-53,8.3,211,-11.4,277,-7.7,297,-6.5,83,83,166,Ю,4.5,3.9
168,168,Республика Коми,Усть-Цильма,-47,-44,-43,-40,-25,-52,8.2,199,-10.5,268,-6.7,289,-5.6,82,82,173,В,4.7,3.8
169,169,Республика Коми,Усть-Щугор,-53,-50,-49,-45,-29,-58,9.1,201,-11.9,266,-8,285,-6.9,80,80,217,Ю,4.1,2.9
170,170,Республика Коми,Ухта,-45,-42,-41,-38,-22,-49,6.7,189,-10.4,257,-6.6,278,-5.4,81,81,167,Ю,4,3.5
171,171,Костромская область,Кострома,-36,-33,-32,-29,-16,-46,6.9,151,-6.9,216,-3.6,233,-2.7,86,84,194,Ю,4.4,3.7
172,172,Костромская область,Чухлома,-40,-36,-35,-32,-18,-46,7.7,158,-7.7,224,-4.2,242,-3.2,86,84,197,Ю,3.6,2.9
173,173,Костромская область,Шарья,-41,-37,-36,-32,-17,-46,8.7,158,-7.9,224,-4.4,241,-3.4,85,83,203,Ю,3.4,3
